Username,Category,Amount,Date,Note
Marvin Wilson,Student_Accommodation,2000.0,2025-03-22,
Marvin Wilson,Utilities,100.0,2025-03-22,
Marvin Wilson,Grocery_shopping,100.0,2025-03-22,
Marvin Wilson,Takeaways/dining,500.0,2025-03-22,
Marvin Wilson,Public_Transportation,100.0,2025-03-22,
Marvin Wilson,Tuition_Fees,3000.0,2025-03-22,
Marvin Wilson,Books_and_Supplies,200.0,2025-03-22,
Marvin Wilson,Clothing,100.0,2025-03-22,
Marvin Wilson,Entertainment,200.0,2025-03-22,
Marvin Wilson,Health/Medical_Expenses,500.0,2025-03-22,
Marvin Wilson,Student_Accommodation,4000.0,2025-03-22,
Marvin Wilson,Utilities,500.0,2025-03-22,
Marvin Wilson,Grocery_shopping,200.0,2025-03-22,
Marvin Wilson,Takeaways/dining,100.0,2025-03-22,
Marvin Wilson,Public_Transportation,50.0,2025-03-22,
Marvin Wilson,Tuition_Fees,2500.0,2025-03-22,
Marvin Wilson,Books_and_Supplies,300.0,2025-03-22,
Marvin Wilson,Clothing,200.0,2025-03-22,
Marvin Wilson,Entertainment,100.0,2025-03-22,
Marvin Wilson,Health/Medical_Expenses,500.0,2025-03-22,
Reinee Panjabi,Student_Accommodation,4000.0,2025-03-22,
Reinee Panjabi,Utilities,300.0,2025-03-22,
Reinee Panjabi,Grocery_shopping,100.0,2025-03-22,
Reinee Panjabi,Takeaways/dining,200.0,2025-03-22,
Reinee Panjabi,Public_Transportation,100.0,2025-03-22,
Reinee Panjabi,Tuition_Fees,2000.0,2025-03-22,
Reinee Panjabi,Books_and_Supplies,300.0,2025-03-22,
Reinee Panjabi,Clothing,200.0,2025-03-22,
Reinee Panjabi,Entertainment,100.0,2025-03-22,
Reinee Panjabi,Health/Medical_Expenses,500.0,2025-03-22,
Marvin Wilson,Public_Transportation,70.0,2025-03-22,train ticket
Reinee Panjabi,Student_Accommodation,0.01,2025-03-22,
Preyashi Agarwal,Student_Accommodation,4000.0,2025-03-22,
Preyashi Agarwal,Utilities,200.0,2025-03-22,
Preyashi Agarwal,Grocery_shopping,100.0,2025-03-22,
Preyashi Agarwal,Takeaways/dining,300.0,2025-03-22,
Preyashi Agarwal,Public_Transportation,100.0,2025-03-22,
Preyashi Agarwal,Tuition_Fees,3500.0,2025-03-22,
Preyashi Agarwal,Books_and_Supplies,1200.0,2025-03-22,
Preyashi Agarwal,Clothing,400.0,2025-03-22,
Preyashi Agarwal,Entertainment,100.0,2025-03-22,
Preyashi Agarwal,Health/Medical_Expenses,300.0,2025-03-22,
Riya Bhansali,Student_Accommodation,4000.0,2025-03-22,
