Name,Password,Age,Gender,Student_Accommodation,Utilities,Grocery_shopping,Takeaways/dining,Public_Transportation,Tuition_Fees,Books_and_Supplies,Clothing,Entertainment,Health/Medical_Expenses,Monthly_Income
Marvin Wilson,1234,18,Female,2000.0,100.0,100.0,500.0,340.0,3000.0,200.0,100.0,200.0,500.0,15000.0
Reinee Panjabi,1234,18,Female,4020.04,300.0,100.0,200.0,300.0,2000.0,300.0,200.0,100.0,500.0,12000.0
Preyashi Agarwal,1234,19,Female,4000.0,200.0,100.0,300.0,100.0,3500.0,1200.0,400.0,100.0,300.0,11000.0
Riya Bhansali,1234,18,Female,4000.0,500.0,400.0,600.0,500.0,2000.0,3000.0,400.0,50.0,500.0,5000.0
Henry Rogers,1234,22,Male,4000.0,200.0,500.0,450.0,100.0,3000.0,1000.0,500.0,100.0,200.0,14000.0
Samuel Robinson,1234,17,Male,2000.0,200.0,100.0,300.0,400.0,3000.0,220.0,450.0,100.0,200.0,100.0
Luke Danes,1234,27,Male,4000.0,300.0,200.0,100.0,70.0,400.0,2000.0,100.0,200.0,300.0,10000.0
Jim Halpert,1234,25,Male,2000.0,300.0,200.0,100.0,200.0,2000.0,100.0,200.0,0.0,200.0,10000.0
Micheal Scott,1234,16,Male,1000.0,2000.0,100.0,200.0,300.0,3000.0,200.0,100.0,200.0,500.0,200.0
Leonard Hofstader,1234,23,Male,2500.0,300.0,200.0,100.0,200.0,300.0,200.0,100.0,400.0,500.0,10000.0
Sheldon Cooper,1234,16,Male,1000.0,400.0,500.0,300.0,100.0,300.0,400.0,100.0,2000.0,100.0,15000.0
Joe Goldberg,1234,22,Male,1000.0,200.0,700.0,10.0,700.0,10000.0,100.0,200.0,3000.0,1500.0,20000.0
Monica Geller,1234,16,Female,3000.0,200.0,100.0,200.0,200.0,4000.0,100.0,1000.0,200.0,300.0,20000.0
Andrew Tate,1234,24,Male,10000.0,800.0,400.0,100.0,1000.0,200.0,300.0,1000.0,350.0,100.0,200.0
Rachel Patel,1234,34,Female,1000.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
